Unnamed: 0,area,mean_intensity,minor_axis_length,major_axis_length,eccentricity,extent,feret_diameter_max,equivalent_diameter_area,bbox-0,bbox-1,bbox-2,bbox-3,UMAP1,UMAP2,selection
0,422,192.3791469194313,16.48854951961423,34.56678887933311,0.8789002915133097,0.5861111111111111,35.22782990761707,23.179885415554555,0,11,30,35,7.6858683,3.738014,False
1,182,180.13186813186817,11.736073970927404,20.80269670059058,0.8256646777589122,0.7878787878787878,21.37755832643195,15.222667215103916,0,53,11,74,8.768059,7.1721234,True
2,661,205.2163388804841,28.40950249948261,30.20843327139941,0.3399337491057154,0.8743386243386243,32.7566787083184,29.010538413996088,0,95,28,122,6.1299486,3.4776618,False
3,437,216.5858123569794,23.14399593782219,24.60612974634896,0.3395764075208589,0.8260869565217391,26.92582403567252,23.58825303088947,0,144,23,167,5.4101763,4.095456,False
4,476,212.30252100840335,19.852881546156773,31.07510563816799,0.7693166125791174,0.8638838475499092,31.38470965295043,24.61832697999475,0,237,29,256,5.28025,3.8612776,False
5,277,206.4693140794224,17.523565389843426,20.15136970929648,0.4937626060702252,0.7694444444444445,20.8806130178211,18.77997214831907,6,189,26,207,5.945782,5.399393,False
6,259,178.007722007722,15.30908017836905,21.76130160907236,0.7106950536491141,0.7357954545454546,22.80350850198276,18.15954410458608,17,211,39,227,8.628856,6.7283955,True
7,219,191.59817351598173,15.745457889012394,17.729016906987827,0.4596156362992407,0.7604166666666666,18.68154169226941,16.698486766680407,18,37,36,53,7.435499,6.958825,False
8,67,167.52238805970148,8.731267915721903,9.76175209574853,0.447194866920151,0.8271604938271605,10.295630140987,9.23618154310838,18,133,27,142,9.411662,8.3198805,True
9,19,155.3684210526316,1.967200617175118,11.358057403983024,0.9848869047710224,0.8636363636363636,11.0,4.918490759365935,21,0,32,2,9.575595,8.368221,True
10,486,190.9465020576132,24.02896154601964,25.83617991194104,0.3674307872622541,0.7476923076923077,26.92582403567252,24.875578761936158,21,162,47,187,7.5040607,4.9425635,False
11,630,173.6,24.460212090010707,33.02088095141446,0.6717809785396017,0.7258064516129032,33.83784863137726,28.32209231647889,26,59,57,87,8.221751,4.6707454,False
12,221,197.9366515837104,15.72498940211808,17.96356809304681,0.4834313225272926,0.7673611111111112,18.97366596101028,16.774562271083887,39,225,57,241,6.776916,6.4938416,False
13,78,173.12820512820514,8.701499488163451,11.377331408159852,0.6442556224815726,0.7878787878787878,11.704699910719626,9.965574970333758,40,4,51,13,9.623877,7.958892,True
14,449,208.76614699331847,21.87148519574908,26.16578375376277,0.5489104818334948,0.784965034965035,26.92582403567252,23.90992587997897,42,128,68,150,5.5272546,4.1584888,False
15,516,194.4031007751938,23.5854676213059,27.907938891683155,0.5345817224179785,0.7678571428571429,28.861739379323623,25.631847476983477,44,17,72,41,7.254868,4.2436013,False
16,390,180.7794871794872,14.51604577774252,35.2258795097238,0.9111455454492716,0.5990783410138248,34.0147027033899,22.28370306853673,44,184,75,205,8.275453,4.276011,False
17,419,196.84964200477327,19.32195687615306,27.6492985129461,0.7152949478800585,0.7759259259259259,28.16025568065745,23.09734550211416,60,89,87,109,6.7963476,4.5249343,False
18,267,200.95880149812731,15.852067357423577,21.526929691167425,0.676564794085438,0.7478991596638656,22.47220505424423,18.437867513470437,60,206,81,223,6.2775283,5.811968,False
19,353,189.77903682719543,19.59158973178081,23.05533005930752,0.5271632827375705,0.800453514739229,24.186773244895647,21.200319792199185,63,235,84,256,7.6240263,5.758835,False
20,151,186.2251655629139,12.5553443851764,15.366154007316425,0.5765273232773395,0.7743589743589744,16.15549442140351,13.86575534383214,66,162,81,175,8.603558,7.837012,True
21,400,187.96,21.493444217870596,23.76898095529729,0.4269728623902844,0.7905138339920948,24.698178070456937,22.56758334191025,73,53,96,75,7.764338,5.304841,False
22,426,201.5774647887324,18.0734278513471,32.22250760736112,0.8278872751997759,0.6761904761904762,31.95309061734092,23.28948359361322,75,117,96,147,6.6680155,3.2312083,False
23,246,182.1138211382114,16.396004505357105,19.11147915711623,0.5137934026049105,0.8092105263157895,19.92485884517128,17.697935698969246,77,26,96,42,8.336289,7.1951995,True
24,503,198.64811133200797,19.812612397944168,33.32379412751015,0.8040597367538631,0.8273026315789473,32.7566787083184,25.30690599424961,82,0,114,19,7.036433,3.4883506,False
25,278,190.18705035971223,17.676431598455636,20.01305549484956,0.4689117559338522,0.8128654970760234,21.02379604162864,18.81384047546846,86,214,105,232,7.5496144,6.5260544,False
26,681,198.30837004405285,24.756298670703107,36.31007428314016,0.7315363143323186,0.7703619909502263,35.4682957019364,29.44615645486938,88,157,114,191,7.1677437,3.150264,False
27,176,195.27272727272728,11.465202720653028,20.51693904390602,0.8292913798422591,0.8,20.8806130178211,14.96964127403822,95,245,115,256,7.0170765,6.676283,False
28,358,197.7877094972067,19.239194852620805,23.71119799854544,0.5844954346857218,0.8192219679633868,24.35159132377184,21.349935761383176,102,92,121,115,6.5479856,5.3115067,False
29,544,198.4558823529412,23.888675170463177,29.10074138732788,0.5710780628598816,0.7555555555555555,30.59411708155671,26.318098569918163,108,25,138,49,6.679122,3.8179317,False
30,597,190.95477386934672,17.078429488768045,47.45100790555335,0.9329842850238071,0.5527777777777778,44.7213595499958,27.5703465376642,110,113,150,140,7.907443,3.0856261,False
31,181,184.88397790055248,14.3193997319355,16.165879840626438,0.4641069387058056,0.7541666666666667,17.08800749063506,15.180789096653193,115,56,131,71,8.176508,7.840983,True
32,629,193.66613672496027,20.719000074200803,40.268495145786815,0.8574775745690728,0.6197044334975369,38.58756276314948,28.29960553856568,115,151,150,180,7.7062397,3.2316215,False
33,596,210.06711409395973,26.32078911764929,28.93179826133482,0.4151500343996471,0.7904509283819628,29.8328677803526,27.54724611757329,115,210,141,239,5.4821305,3.6002917,False
34,5,161.6,1.7888543819998317,3.098386676965933,0.816496580927726,0.8333333333333334,3.1622776601683795,2.5231325220201604,125,252,127,255,9.704086,8.487818,False
35,263,190.0228136882129,16.48782319752517,20.42131236590844,0.5900275192043914,0.821875,21.18962010041709,18.29923496393627,130,0,150,16,7.7494864,6.531307,False
36,899,198.29143492769745,21.753901013761546,54.500295989559966,0.9168847787282084,0.6659259259259259,52.20153254455275,33.83256346653194,137,75,187,102,7.783005,2.8286407,False
37,476,204.9243697478992,19.190883693927283,32.84922326048113,0.8116016816540315,0.6898550724637681,34.9857113690718,24.61832697999475,137,233,167,256,6.416643,2.9859319,False
38,233,193.1673819742489,15.739524565306647,18.87938833500705,0.5522353406830317,0.7664473684210527,19.92485884517128,17.22396045987371,138,59,157,75,7.235056,6.8178306,False
39,164,184.6341463414634,12.56394902505307,16.627804702922187,0.6550347140601438,0.7884615384615384,17.46424919657298,14.450303987687134,149,182,165,195,8.509434,7.9878154,True
40,394,181.4010152284264,19.397477774722876,25.916249721084466,0.6631711613375763,0.7786561264822134,26.627053911388696,22.39768694811261,153,125,175,148,8.224224,5.4369955,False
41,411,200.2530413625304,20.479550857759328,25.62850227470542,0.6012077394082627,0.7784090909090909,26.92582403567252,22.875783109789968,157,5,181,27,6.362722,4.713548,False
42,235,189.1404255319149,16.093272002895894,18.630718986350654,0.5038296138528644,0.8159722222222222,19.313207915827967,17.297725082009,158,206,176,222,7.8390102,7.033742,False
43,375,195.49866666666668,19.103890377422527,25.022467273381,0.6458438935284438,0.7894736842105263,25.495097567963924,21.850968611841584,160,35,185,54,6.897752,5.0791287,False
44,654,199.70642201834863,27.176615601714733,30.91464637071504,0.4766642254326547,0.8074074074074075,32.31098884280702,28.856518540128786,166,167,196,194,6.486541,3.4465945,False
45,376,208.6382978723404,20.552666083794165,23.33806121112725,0.4737672323742954,0.7768595041322314,24.596747752497688,21.88008383942852,174,222,196,244,5.575354,4.5675335,False
46,579,200.64939550949916,26.48486595300526,27.88400105966965,0.3127878521170761,0.7953296703296703,29.154759474226505,27.151532118863187,185,116,211,144,6.2550654,3.6885567,False
47,64,190.25,5.354655466624678,15.92559386125825,0.9417800597138049,0.8,16.0312195418814,9.0270333367641,193,251,209,256,9.336916,7.1866527,True
48,161,183.9503105590062,12.610918531456493,16.27492152554619,0.6321228767441678,0.7740384615384616,17.08800749063506,14.317526556719258,195,200,211,213,8.805832,7.5831203,True
49,457,168.21006564551422,16.926257928484908,34.69368841598603,0.8729123000990983,0.6924242424242424,34.20526275297414,24.121991458915023,199,17,232,37,8.501866,4.674344,False
50,625,217.8944,24.62499327895847,32.37930683030831,0.6493187451971777,0.7183908045977011,32.7566787083184,28.209479177387816,199,89,229,118,5.413595,3.461746,False
51,535,189.93644859813085,22.79510500996419,29.89822909385258,0.6470786560343395,0.7753623188405797,30.59411708155671,26.099485750361293,203,51,233,74,7.6264944,4.4966855,False
52,205,199.18048780487808,11.210767526308503,24.802925797492534,0.8920211022698601,0.7454545454545455,25.179356624028344,16.15593100600236,214,0,239,11,6.600635,6.095539,False
53,562,215.9288256227758,26.01253769845664,27.607522591104107,0.3349766227628411,0.771978021978022,28.861739379323623,26.749964937194992,214,220,240,248,5.188037,3.7791824,False
54,845,198.2958579881657,26.478859082400035,40.97728756691501,0.7631818305194142,0.7824074074074074,40.79215610874228,32.80072278626208,217,161,244,201,7.443789,2.8851368,False
55,280,189.8,16.750817597358537,21.30431372491053,0.617890544650447,0.7486631016042781,22.360679774997894,18.881394877652596,223,130,245,147,7.649149,6.221449,False
56,211,185.0616113744076,14.52276229871153,18.489137571164186,0.6188929088185002,0.7814814814814814,18.97366596101028,16.39065416446578,232,39,250,54,8.1932955,7.548333,True
57,78,185.23076923076923,6.028638098495415,17.579799274528927,0.9393610122507678,0.7222222222222222,18.027756377319943,9.965574970333758,248,170,254,188,9.280631,7.3990693,True
58,86,183.72093023255812,5.426871023944166,21.26142656644072,0.9668764311914048,0.7818181818181819,22.0,10.464157913908982,249,117,254,139,9.278776,7.508956,True
59,51,190.4313725490196,5.032413514624027,13.742079495416707,0.9305343351231302,0.7285714285714285,14.0356688476182,8.058239062071396,249,228,254,242,9.683874,7.412987,True
60,46,175.30434782608697,3.803981783478496,15.948714074338104,0.9711392099384112,0.7666666666666667,15.033296378372908,7.653039857325812,250,67,254,82,9.5723915,7.931814,True
