Drug;Value
drugY;25.355
drugC;13.093
drugC;10.114
drugX;7.798
drugY;18.043
drugX;8.607
drugY;16.275
drugC;11.037
drugY;15.171
drugY;19.368
drugC;11.767
drugY;19.199
drugY;15.376
drugY;20.942
drugX;12.703
drugY;15.516
drugX;11.455
drugA;13.972
drugC;7.298
drugY;25.974
drugY;19.128
drugY;25.917
drugY;30.568
drugY;15.036
drugY;33.486
drugY;18.809
drugY;30.366
drugX;9.381
drugY;22.697
drugY;17.951
drugX;8.75
drugB;9.567
drugX;11.014
drugY;31.876
drugX;14.133
drugX;7.285
drugA;9.445
drugX;13.938
drugX;9.709
drugX;9.084
drugY;19.221
drugB;14.239
drugY;15.79
drugX;12.26
drugX;12.295
drugX;8.107
drugA;13.091
drugC;10.291
drugY;31.686
drugY;19.796
drugY;19.416
drugX;10.898
drugY;27.183
drugY;18.457
drugB;10.189
drugC;14.16
drugB;11.34
drugY;27.826
drugX;10.091
drugY;18.703
drugY;29.875
drugA;9.475
drugY;20.693
drugX;8.37
drugB;13.303
drugY;27.05
drugA;12.856
drugX;10.832
drugY;24.658
drugY;24.276
drugB;13.967
drugY;19.675
drugX;10.605
drugY;22.905
drugY;17.069
drugY;20.909
drugA;11.198
drugY;19.161
drugA;13.313
drugX;10.84
drugB;13.934
drugX;7.761
drugC;9.712
drugA;11.326
drugC;10.067
drugB;13.935
drugX;13.597
drugY;15.478
drugY;23.091
drugY;17.211
drugY;16.594
drugY;15.156
drugY;29.45
drugY;29.271
drugY;15.015
drugX;11.424
drugY;38.247
drugY;25.395
drugY;35.639
drugY;16.725
drugA;11.871
drugA;12.854
drugC;13.127
drugX;8.966
drugY;28.294
drugX;8.968
drugX;11.953
drugY;20.013
drugB;9.677
drugY;16.85
drugA;7.49
drugX;6.683
drugX;9.17
drugX;13.769
drugX;9.281
drugY;18.295
drugX;9.514
drugX;10.103
drugA;10.292
drugY;25.475
drugY;27.064
drugY;17.206
drugY;22.456
drugY;16.753
drugB;12.495
drugY;25.969
drugY;16.347
drugX;7.845
drugY;33.542
drugX;7.477
drugY;20.489
drugY;32.922
drugX;13.598
drugY;25.786
drugY;21.036
drugX;11.939
drugB;10.977
drugA;12.894
drugB;11.343
drugX;10.065
drugA;6.269
drugY;25.741
drugB;8.621
drugY;15.436
drugA;9.664
drugX;9.443
drugX;12.006
drugA;12.307
drugX;7.34
drugC;8.151
drugA;8.7
drugB;11.009
drugX;7.261
drugX;14.642
drugY;16.724
drugC;10.537
drugA;11.227
drugY;22.963
drugC;10.444
drugX;12.923
drugX;10.443
drugB;9.945
drugX;12.859
drugY;28.632
drugY;19.007
drugY;18.295
drugY;26.645
drugX;14.216
drugY;23.003
drugA;11.262
drugX;12.879
drugX;10.017
drugY;17.225
drugY;18.739
drugA;12.766
drugY;18.348
drugA;10.446
drugY;19.011
drugY;15.969
drugY;15.891
drugY;22.818
drugX;13.884
drugX;11.686
drugY;15.49
drugY;37.188
drugY;25.893
drugB;9.849
drugA;10.403
drugY;34.997
drugY;20.932
drugY;18.991
drugA;8.011
drugY;16.31
drugC;6.769
drugY;34.686
drugC;11.567
drugC;12.006
drugX;9.894
drugX;14.02
drugX;11.349